Cloud Provider,Number of Nodes,Average Mop/s,Std Dev Mop/s,COV Mop/s (%),Average Time,Std Dev Time,COV Time (%)
AWS,1,37.42333333333333,0.325194580446099,0.8689620925788698,14.346666666666666,0.12615526748872388,0.8793350429046739
AWS,2,74.53083333333333,0.4309705396666979,0.578244627615011,7.203333333333333,0.04249777177759574,0.5899736942748136
AWS,4,149.04083333333332,0.8429866636854442,0.5656078571434747,3.6024999999999996,0.021794494717703426,0.6049825043082145
AWS,6,222.78916666666666,1.434404902474341,0.6438396103076561,2.410833333333333,0.015642792899510212,0.6488541817978657
AWS,8,295.32916666666665,3.447479865676142,1.1673347081113927,1.8166666666666667,0.022292817160908546,1.227127550141755
GCP,1,88.65833333333335,0.22437117515943075,0.25307398269697984,6.055,0.014459976109624255,0.23881050552641217
GCP,2,174.27583333333334,4.323959587594627,2.481101082629334,3.0833333333333335,0.07866307130972441,2.551234745180251
GCP,4,336.52916666666664,32.68851075846161,9.713425758082865,1.6141666666666667,0.21474967809620635,13.304058529450058
GCP,6,497.9941666666667,63.04197814419638,12.659180039430792,1.1033333333333333,0.20990618395036875,19.024729663175417
GCP,8,651.5791666666667,77.15649050154596,11.841460631140391,0.8366666666666668,0.12346021319609096,14.756200780409277
