Cloud Provider,Number of Nodes,Average Max Write,Std Dev Max Write,COV Max Write (%),Average Max Read,Std Dev Max Read,COV Max Read (%)
AWS,1,63.775,12.965326136205825,20.329794019922893,164.66916666666665,46.878631196727454,28.46837215835435
AWS,2,107.97916666666667,13.012212067084826,12.050669095505915,236.58833333333334,36.016212973738604,15.223156808410646
AWS,4,144.39083333333335,15.970304521678713,11.060469804762798,217.53666666666666,41.72900785987724,19.182516905905782
AWS,6,155.02833333333334,32.34357905459143,20.863011527736713,212.995,71.96167875397926,33.78561879573664
AWS,8,148.8033333333333,54.594049514798236,36.68872752500946,229.04416666666665,75.48151760028694,32.95500544667307
GCP,1,730.755,62.48232935653234,8.550379998293865,2587.3758333333335,129.63549229620244,5.010307765346644
GCP,2,1347.8166666666666,212.47258802162236,15.764205420244274,3172.164166666667,297.73117348184877,9.385742913636996
GCP,4,2744.1474999999996,272.623317188754,9.934718056837472,5598.8475,489.34508829519905,8.740103892724333
GCP,6,3333.4641666666666,596.6564439282128,17.89899078245817,6659.234166666666,1544.3252470575112,23.190733474845437
GCP,8,5071.946666666667,780.9170816922806,15.396792060621312,9083.898333333333,818.4070413901443,9.009425373982914
