Cloud Provider,Number of Nodes,Average Max Write,Average Max Read
AWS,1,63.775,164.66916666666665
AWS,2,107.97916666666667,236.58833333333334
AWS,4,144.39083333333335,217.53666666666666
AWS,6,155.02833333333334,212.995
AWS,8,148.8033333333333,229.04416666666665
GCP,1,730.755,2587.3758333333335
GCP,2,1347.8166666666666,3172.164166666667
GCP,4,2744.1474999999996,5598.8475
GCP,6,3333.4641666666666,6659.234166666666
GCP,8,5071.946666666667,9083.898333333333
