Cloud Provider,Number of Nodes,Average Mop/s,Average Time
AWS,1,37.42333333333333,14.346666666666666
AWS,2,74.53083333333333,7.203333333333333
AWS,4,149.04083333333332,3.6024999999999996
AWS,6,222.78916666666666,2.410833333333333
AWS,8,295.32916666666665,1.8166666666666667
GCP,1,88.65833333333335,6.055
GCP,2,174.27583333333334,3.0833333333333335
GCP,4,336.52916666666664,1.6141666666666667
GCP,6,497.9941666666667,1.1033333333333333
GCP,8,651.5791666666667,0.8366666666666668
